Vaccine,Ancestral_SD,Ancestral_IN,Alpha_SD,Alpha_IN,Beta_SD,Beta_IN,Gamma_SD,Gamma_IN,Delta_SD,Delta_IN,Omicron_SD,Omicron_IN
AstraZeneca,0.94,0.63,0.94,0.63,0.94,0.69,0.94,0.69,0.94,0.69,0.71,0.36
CanSino,0.66,0.62,0.66,0.62,0.64,0.61,0.64,0.61,0.64,0.61,0.48,0.32
CoronaVac,0.5,0.47,0.5,0.47,0.49,0.46,0.49,0.46,0.49,0.46,0.37,0.24
Covaxin,0.78,0.73,0.78,0.73,0.76,0.72,0.76,0.72,0.76,0.72,0.57,0.38
Johnson & Johnson,0.86,0.72,0.86,0.72,0.76,0.64,0.76,0.64,0.76,0.64,0.57,0.33
Moderna,0.97,0.92,0.97,0.92,0.97,0.91,0.97,0.91,0.97,0.91,0.73,0.48
Novavax,0.89,0.83,0.89,0.83,0.86,0.82,0.86,0.82,0.86,0.82,0.65,0.43
Pfizer/BioNTech,0.95,0.86,0.95,0.86,0.95,0.84,0.95,0.84,0.95,0.84,0.72,0.44
Sinopharm,0.73,0.68,0.73,0.68,0.71,0.67,0.71,0.67,0.71,0.67,0.53,0.35
Sputnik-V,0.92,0.86,0.92,0.86,0.89,0.85,0.89,0.85,0.89,0.85,0.67,0.44
Other vaccines,0.75,0.7,0.75,0.7,0.73,0.69,0.73,0.69,0.73,0.69,0.55,0.36
Other vaccines (MRNA),0.91,0.86,0.91,0.86,0.88,0.85,0.88,0.85,0.88,0.85,0.67,0.45
